country	count	year
Albánie	1	2014
Alžírsko	1	2014
Arménie	5	2014
Bosna a Hercegovina	2	2014
Bulharsko	1	2014
Čína	2	2014
Filipíny	1	2014
Gruzie	3	2014
Indie	1	2014
Irák	1	2014
Kamerun	1	2014
Kazachstán	2	2014
Kosovo	4	2014
Kyrgyzstán	4	2014
Lotyšsko	1	2014
Makedonie	2	2014
Moldavská republika	6	2014
Mongolsko	15	2014
neuvedený stát	1	2014
Nigérie	3	2014
Polsko	1	2014
Rumunsko	1	2014
Ruská federace	7	2014
Slovensko	2	2014
Srbsko	4	2014
Tádžikistán	1	2014
Turecko	1	2014
Ukrajina	53	2014
Uzbekistán	14	2014
Vietnam	33	2014
Zambie	1	2014
Albánie	2	2013
Arménie	5	2013
Bulharsko	2	2013
Čína	5	2013
Egypt	1	2013
Gruzie	2	2013
Honduras	1	2013
Indie	1	2013
Kazachstán	1	2013
Kolumbie	1	2013
Kosovo	3	2013
Kyrgyzstán	6	2013
Lotyšsko	1	2013
Moldavská republika	7	2013
Mongolsko	15	2013
Namibie	1	2013
Nigérie	1	2013
Palestinské území (ok.)	1	2013
Ruská federace	5	2013
Spojené státy	4	2013
Thajsko	2	2013
Tunisko	1	2013
Turecko	1	2013
Ukrajina	50	2013
Uzbekistán	17	2013
Vietnam	49	2013
Albánie	1	2012
Alžírsko	1	2012
Argentina	1	2012
Bangladéš	1	2012
Bolívie	1	2012
Bosna a Hercegovina	1	2012
Čína	4	2012
Egypt	1	2012
Gruzie	3	2012
Kazachstán	4	2012
Keňa	1	2012
Kyrgyzstán	2	2012
Makedonie	2	2012
Maroko	1	2012
Moldavská republika	4	2012
Mongolsko	41	2012
Nigérie	1	2012
Pákistán	1	2012
Ruská federace	4	2012
Slovensko	2	2012
Spojené státy	3	2012
Srbsko	3	2012
Tádžikistán	1	2012
Ukrajina	74	2012
Uzbekistán	36	2012
Vietnam	68	2012
Arménie	3	2011
Bělorusko	2	2011
Čína	5	2011
Egypt	1	2011
Ghana	1	2011
Gruzie	2	2011
Chorvatsko	1	2011
Indie	2	2011
Kazachstán	1	2011
Kosovo	1	2011
Kyrgyzstán	6	2011
Makedonie	5	2011
Moldavsko	11	2011
Mongolsko	53	2011
Nigérie	1	2011
Pákistán	1	2011
Rumunsko	1	2011
Rusko	6	2011
Srbsko	1	2011
Srí Lanka	1	2011
Tádžikistán	5	2011
Turecko	3	2011
Ukrajina	133	2011
Uzbekistán	13	2011
Vietnam	67	2011
Arménie	4	2010
Bělorusko	12	2010
Bolívie	1	2010
Bosna a Hercegovina	1	2010
Bulharsko	1	2010
Burkina Faso	1	2010
Čína	9	2010
Ekvádor	1	2010
Etiopie	1	2010
Gruzie	3	2010
Indie	3	2010
Indonésie	1	2010
Irák	1	2010
Kamerun	1	2010
Kazachstán	1	2010
Kosovo	7	2010
Kyrgyzstán	13	2010
Libanon	1	2010
Litva	1	2010
Makedonie	1	2010
Moldavsko	43	2010
Mongolsko	99	2010
Nigérie	3	2010
Republika Kosovo	2	2010
Rumunsko	1	2010
Rusko	16	2010
Spojené státy	1	2010
Srbsko	3	2010
Srbsko a Černá Hora	1	2010
Súdán	1	2010
Sýrie	1	2010
Tádžikistán	3	2010
Turecko	7	2010
Ukrajina	340	2010
Uzbekistán	9	2010
Vietnam	126	2010
