country	count	year
Afghánistán	7	2014
Albánie	6	2014
Alžírsko	9	2014
Arménie	25	2014
Austrálie	8	2014
Ázerbájdžán	5	2014
Bahrajn	2	2014
Bangladéš	2	2014
Bělorusko	17	2014
Benin	1	2014
Bosna a Hercegovina	8	2014
Botswana	1	2014
Brazílie	5	2014
Bulharsko	3	2014
Černá Hora	1	2014
Čína	29	2014
Dominikánská republika	1	2014
Egypt	3	2014
Etiopie	4	2014
Filipíny	30	2014
Ghana	6	2014
Gruzie	15	2014
Guinea	1	2014
Guinea-Bissau	1	2014
Indie	23	2014
Indonésie	6	2014
Irák	3	2014
Írán(islámská republika)	3	2014
Izrael	2	2014
Jamajka	1	2014
Jemen	1	2014
Jordánsko	3	2014
Kamerun	3	2014
Kanada	3	2014
Kazachstán	30	2014
Kongo,demokratická rep.	6	2014
Korejská republika	2	2014
Kosovo	30	2014
Kuba	3	2014
Kuvajt	143	2014
Kyrgyzstán	15	2014
Libanon	3	2014
Libye	251	2014
Litva	1	2014
Lotyšsko	9	2014
Makedonie,býv.jug.rep.	23	2014
Malajsie	3	2014
Maroko	2	2014
Mexiko	2	2014
Moldavská republika	33	2014
Mongolsko	25	2014
Nigérie	14	2014
Nový Zéland	1	2014
osoba bez státní přísl.	5	2014
Pákistán	6	2014
Palestinské území (ok.)	1	2014
Peru	1	2014
Pobřeží slonoviny	2	2014
Polsko	6	2014
Rumunsko	8	2014
Ruská federace	122	2014
Saúdská Arábie	55	2014
Sierra Leone	2	2014
Slovensko	31	2014
Somálsko	1	2014
Spojené arabské emiráty	1	2014
Spojené státy	12	2014
Srbsko	8	2014
Srí Lanka	18	2014
Súdán	3	2014
Syrská arabská republika	25	2014
Tádžikistán	1	2014
Thajsko	3	2014
Tunisko	5	2014
Turecko	15	2014
Ukrajina	831	2014
uprchlík dle konvence	1	2014
uprchlík ostatní	1	2014
Uzbekistán	44	2014
Venezuela	3	2014
Vietnam	152	2014
Afghánistán	9	2013
Albánie	19	2013
Alžírsko	10	2013
Angola	1	2013
Argentina	1	2013
Arménie	36	2013
Austrálie	7	2013
Ázerbájdžán	11	2013
Bahrajn	2	2013
Bangladéš	4	2013
Bělorusko	17	2013
Bosna a Hercegovina	1	2013
Botswana	2	2013
Brazílie	1	2013
Bulharsko	7	2013
Čína	35	2013
Egypt	1	2013
Etiopie	4	2013
Filipíny	20	2013
Ghana	4	2013
Gruzie	23	2013
Honduras	1	2013
Chorvatsko	2	2013
Indie	19	2013
Indonésie	3	2013
Irák	5	2013
Írán(islámská republika)	4	2013
Itálie	1	2013
Izrael	4	2013
Japonsko	1	2013
Jemen	4	2013
Jordánsko	1	2013
Kamerun	2	2013
Kanada	5	2013
Katar	1	2013
Kazachstán	29	2013
Kolumbie	1	2013
Kongo,demokratická rep.	3	2013
Korejská republika	2	2013
Kosovo	11	2013
Kostarika	1	2013
Kuba	5	2013
Kuvajt	106	2013
Kyrgyzstán	18	2013
Libanon	1	2013
Libye	84	2013
Litva	1	2013
Lotyšsko	2	2013
Makedonie,býv.jug.rep.	14	2013
Maroko	2	2013
Mexiko	1	2013
Moldavská republika	68	2013
Mongolsko	41	2013
Namibie	2	2013
Německo	1	2013
Nepál	8	2013
Nigérie	9	2013
osoba bez státní přísl.	2	2013
Pákistán	3	2013
Palestinské území (ok.)	2	2013
Peru	1	2013
Pobřeží slonoviny	1	2013
Polsko	2	2013
Rumunsko	9	2013
Ruská federace	106	2013
Saúdská Arábie	21	2013
Seychely	1	2013
Slovensko	24	2013
Spojené státy	28	2013
Srbsko	9	2013
Srí Lanka	8	2013
Súdán	1	2013
Syrská arabská republika	3	2013
Thajsko	8	2013
Togo	1	2013
Tunisko	7	2013
Turecko	13	2013
Ukrajina	898	2013
Uzbekistán	52	2013
Vietnam	187	2013
Zambie	1	2013
Afghánistán	20	2012
Albánie	11	2012
Alžírsko	13	2012
Angola	1	2012
Argentina	1	2012
Arménie	36	2012
Austrálie	4	2012
Ázerbájdžán	7	2012
Bahrajn	5	2012
Bangladéš	2	2012
Bělorusko	22	2012
Bolívie	1	2012
Bosna a Hercegovina	6	2012
Botswana	1	2012
Bulharsko	2	2012
Burkina Faso	1	2012
Čína	40	2012
Egypt	4	2012
Eritrea	1	2012
Filipíny	10	2012
Ghana	4	2012
Gruzie	22	2012
Chorvatsko	2	2012
Indie	4	2012
Indonésie	8	2012
Irák	4	2012
Írán(islámská republika)	8	2012
Izrael	7	2012
Jemen	1	2012
Jižní Afrika	1	2012
Jordánsko	2	2012
Kamerun	3	2012
Kanada	3	2012
Kazachstán	23	2012
Keňa	1	2012
Kongo, republika	1	2012
Kongo,demokratická rep.	2	2012
Korejská republika	6	2012
Kosovo	7	2012
Kuba	3	2012
Kuvajt	9	2012
Kyrgyzstán	16	2012
Libanon	2	2012
Libye	6	2012
Lotyšsko	2	2012
Makedonie,býv.jug.rep.	15	2012
Mali	1	2012
Maroko	2	2012
Mexiko	1	2012
Moldavská republika	73	2012
Mongolsko	62	2012
Nigérie	15	2012
Pákistán	6	2012
Palestinské území (ok.)	9	2012
Panama	1	2012
Polsko	3	2012
Rovníková Guinea	1	2012
Rumunsko	6	2012
Ruská federace	122	2012
Saúdská Arábie	5	2012
Senegal	1	2012
Slovensko	12	2012
Spojené arabské emiráty	2	2012
Spojené státy	26	2012
Srbsko	12	2012
Súdán	1	2012
Syrská arabská republika	8	2012
Španělsko	1	2012
Tádžikistán	2	2012
Thajsko	3	2012
Tunisko	5	2012
Turecko	20	2012
Uganda	2	2012
Ukrajina	992	2012
Uzbekistán	64	2012
Vietnam	256	2012
Zambie	1	2012
Zimbabwe	1	2012
Afghánistán	11	2011
Albánie	2	2011
Alžírsko	12	2011
Argentina	1	2011
Arménie	49	2011
Austrálie	1	2011
Ázerbájdžán	11	2011
Bahrajn	1	2011
Bělorusko	32	2011
Bosna a Hercegovina	19	2011
Botswana	1	2011
Bulharsko	1	2011
Čína	53	2011
Egypt	15	2011
Ekvádor	2	2011
Eritrea	3	2011
Estonsko	1	2011
Etiopie	1	2011
Filipíny	4	2011
Gambie	1	2011
Ghana	2	2011
Gruzie	38	2011
Guinea	1	2011
Haiti	1	2011
Chorvatsko	4	2011
Indie	7	2011
Indonésie	1	2011
Irák	9	2011
Írán(islámská republika	3	2011
Izrael	5	2011
Kambodža	1	2011
Kamerun	6	2011
Kanada	1	2011
Kazachstán	34	2011
Keňa	1	2011
Kongo, republika	2	2011
Kongo,demokratická rep.	5	2011
Korejská republika	1	2011
Kosovo	6	2011
Kuba	1	2011
Kyrgyzstán	38	2011
Libanon	12	2011
Libyjská arab.džamáh.	6	2011
Litva	3	2011
Makedonie,býv.jug.rep.	16	2011
Maroko	3	2011
Mexiko	2	2011
Moldavsko	86	2011
Mongolsko	94	2011
Nepál	1	2011
Nigérie	17	2011
Nový Zéland	1	2011
osoba bez státní přísl.	5	2011
Pákistán	5	2011
Palestinské území (ok.)	3	2011
Panama	1	2011
Peru	1	2011
Polsko	2	2011
Rumunsko	5	2011
Ruská federace	109	2011
Saúdská Arábie	4	2011
Senegal	3	2011
Slovensko	10	2011
Somálsko	2	2011
Spojené státy	12	2011
Srbsko	4	2011
Súdán	1	2011
Syrská arabská republik	10	2011
Tádžikistán	6	2011
Thajsko	7	2011
Tunisko	3	2011
Turecko	24	2011
Ukrajina	997	2011
Uzbekistán	62	2011
Vietnam	284	2011
Zambie	1	2011
Afghánistán	11	2010
Albánie	4	2010
Alžírsko	7	2010
Angola	3	2010
Argentina	1	2010
Arménie	36	2010
Ázerbájdžán	5	2010
Bangladéš	8	2010
Bělorusko	48	2010
Bolívie	3	2010
Bosna a Hercegovina	5	2010
Botswana	1	2010
Bulharsko	3	2010
Burkina Faso	1	2010
Čína	70	2010
Egypt	29	2010
Francie	2	2010
Gambie	2	2010
Ghana	3	2010
Gruzie	34	2010
Guinea	3	2010
Chorvatsko	1	2010
Indie	16	2010
Indonésie	1	2010
Irák	12	2010
Írán	5	2010
Itálie	1	2010
Izrael	1	2010
Jordánsko	2	2010
Kamerun	4	2010
Kapverdy	1	2010
Kazachstán	21	2010
Keňa	1	2010
Kolumbie	3	2010
Kongo	5	2010
Kongo,demokratická rep.	7	2010
Korea	3	2010
Kosovo	18	2010
Kostarika	1	2010
Kuba	8	2010
Kyrgyzstán	47	2010
Libanon	22	2010
Libérie	1	2010
Libye	2	2010
Litva	3	2010
Maďarsko	1	2010
Makedonie	18	2010
Malajsie	1	2010
Mali	1	2010
Mexiko	1	2010
Moldavsko	109	2010
Mongolsko	150	2010
Nigérie	47	2010
Nový Zéland	1	2010
osoba bez státní přísl.	8	2010
Pákistán	8	2010
Palestina	12	2010
Peru	1	2010
Pobřeží slonoviny	3	2010
Polsko	10	2010
Rumunsko	11	2010
Rusko	153	2010
Řecko	1	2010
Saúdská Arábie	1	2010
Senegal	3	2010
Slovensko	57	2010
Somálsko	3	2010
Spojené státy	15	2010
Srbsko	11	2010
Srbsko a Černá Hora	4	2010
Srí Lanka	1	2010
Súdán	1	2010
Svaz.rep.Jugoslávie	2	2010
Sýrie	15	2010
Tádžikistán	8	2010
Thajsko	1	2010
Togo	1	2010
Tunisko	5	2010
Turecko	33	2010
Turkmenistán	2	2010
Ukrajina	1036	2010
uprchlík dle konvence	1	2010
Uzbekistán	48	2010
Vietnam	315	2010
Zambie	1	2010
